Year,FBS Conference,Total Revenues,Total Expenses,Excess Transfers Back,Profit
2005,AAC,0.0,0.0,0.0,0.0
2005,ACC,531194013.5392439,511893711.72433376,0.0,19300301.814910114
2005,B12,768616508.3495681,730365270.7652769,0.0,38251237.58429122
2005,BEC,145920703.1954661,148963618.8238238,0.0,-3042915.6283577085
2005,B10,836644963.6892077,797579658.4598273,0.0,39065305.22938037
2005,CUSA,283547236.77979726,282844796.89293784,0.0,702439.886859417
2005,FBS,35298206.20165923,34690788.87482681,0.0,607417.3268324211
2005,IND,0.0,0.0,0.0,0.0
2005,MAC,319366906.91601783,311393013.68298405,0.0,7973893.233033776
2005,MWC,226550454.05240327,210848811.39878815,0.0,15701642.653615117
2005,P12,442864715.6144136,452553544.9031826,0.0,-9688829.288769007
2005,SOC,808911602.9270827,760138686.7087872,0.0,48772916.218295455
2005,SBC,122504005.12950212,130119136.85830472,0.0,-7615131.728802606
2005,WAC,200738486.71632832,204636605.38492924,0.0,-3898118.668600917
2006,AAC,0.0,0.0,0.0,0.0
2006,ACC,560541152.9654807,539344455.1761053,0.0,21196697.789375424
2006,B12,1057318386.4968123,815805450.3166543,0.0,241512936.18015802
2006,BEC,286803704.70404214,277179771.9090992,0.0,9623932.794942915
2006,B10,811631410.2887317,759691682.6779196,0.0,51939727.61081207
2006,CUSA,229294803.21494347,245810324.87084103,0.0,-16515521.655897558
2006,FBS,38102715.10375419,37881861.28482845,0.0,220853.81892574579
2006,IND,58089633.31049116,55265372.71344843,0.0,2824260.597042732
2006,MAC,279263490.4975393,276054089.9804599,0.0,3209400.5170793533
2006,MWC,244640433.84235403,250294231.60258085,0.0,-5653797.760226816
2006,P12,506714274.9275653,503125399.7747417,0.0,3588875.1528235674
2006,SOC,854971081.5709143,804574494.7763938,0.0,50396586.7945205
2006,SBC,125684286.18799324,135775889.18347803,0.0,-10091602.995484784
2006,WAC,211432862.48645425,197071186.43549925,0.0,14361676.050954998
2007,AAC,0.0,0.0,0.0,0.0
2007,ACC,627673402.6529777,589852505.0000144,0.0,37820897.65296328
2007,B12,848498842.6608832,830289297.6910759,0.0,18209544.969807267
2007,BEC,299890609.29821604,298745961.8563112,0.0,1144647.4419048429
2007,B10,854638369.4977511,807310519.5678794,0.0,47327849.92987168
2007,CUSA,241556764.27137715,255754359.6725093,0.0,-14197595.401132166
2007,FBS,38790997.30451954,39330216.5354713,0.0,-539219.2309517562
2007,IND,57052569.07273109,54356644.23391064,0.0,2695924.83882045
2007,MAC,302569820.99395883,294604379.94794166,0.0,7965441.04601717
2007,MWC,249810538.72314283,248545040.61969247,0.0,1265498.103450358
2007,P12,549637434.6978644,532835409.3231475,0.0,16802025.374716938
2007,SOC,988867680.697258,898680487.3818201,0.0,90187193.31543791
2007,SBC,137543721.30187675,147024441.9832695,0.0,-9480720.68139276
2007,WAC,207807713.67956492,210812514.20994085,0.0,-3004800.5303759277
2008,AAC,0.0,0.0,0.0,0.0
2008,ACC,612412402.7572343,592710754.7902021,0.0,19701647.967032194
2008,B12,971200737.8745487,884076790.3227655,0.0,87123947.5517832
2008,BEC,317982354.5984192,312297727.68359,0.0,5684626.914829195
2008,B10,905571973.8530029,843843516.2142265,0.0,61728457.63877642
2008,CUSA,279952346.89294976,276398710.8402291,0.0,3553636.052720666
2008,FBS,43052913.11594223,42286994.819265015,0.0,765918.2966772169
2008,IND,65542977.78349596,55488947.95515458,0.0,10054029.82834138
2008,MAC,306465698.72909963,301096640.78715897,0.0,5369057.941940665
2008,MWC,271371702.61452234,273029053.80677986,0.0,-1657351.1922575235
2008,P12,557454363.3293759,544408323.8608391,0.0,13046039.468536735
2008,SOC,1055377704.7546352,983371267.4505756,0.0,72006437.30405962
2008,SBC,161218694.95765555,169524931.07006767,0.0,-8306236.112412125
2008,WAC,225710812.5051801,227598824.29316428,0.0,-1888011.7879841924
2009,AAC,0.0,0.0,0.0,0.0
2009,ACC,637442012.7531695,634645292.7648981,0.0,2796719.988271475
2009,B12,945423243.2389145,924406227.4443188,0.0,21017015.79459572
2009,BEC,354687225.08903545,345688414.59266466,0.0,8998810.496370792
2009,B10,908785693.9838347,869846414.2805737,0.0,38939279.70326102
2009,CUSA,284823322.2818504,284981026.78165215,0.0,-157704.49980175495
2009,FBS,46192156.28304771,46192156.28304771,0.0,0.0
2009,IND,62879170.35994177,58102197.98753861,0.0,4776972.37240316
2009,MAC,313516880.66282064,317211548.1023904,0.0,-3694667.4395697713
2009,MWC,291120039.8528445,295825237.28759646,0.0,-4705197.434751987
2009,P12,560249156.9441601,577281415.7652208,0.0,-17032258.821060658
2009,SOC,1059296293.9687546,1032393724.3369924,0.0,26902569.631762266
2009,SBC,170808806.97369,180413500.28448448,0.0,-9604693.310794473
2009,WAC,234205177.97151405,240027901.04987705,0.0,-5822723.078363001
2010,AAC,0.0,0.0,0.0,0.0
2010,ACC,627728375.2758057,598001811.0060228,0.0,29726564.2697829
2010,B12,1011121180.048426,931957056.7304033,0.0,79164123.31802273
2010,BEC,361392151.49718547,355533001.73943055,0.0,5859149.757754922
2010,B10,1074211170.7642672,988441200.898543,0.0,85769969.8657242
2010,CUSA,295148662.27748185,293468839.949532,0.0,1679822.3279498816
2010,FBS,50966230.20516636,49098849.291313104,0.0,1867380.913853258
2010,IND,65301321.12658153,56761118.44042554,0.0,8540202.68615599
2010,MAC,328523149.90760285,309162197.93564755,0.0,19360951.9719553
2010,MWC,306340466.16178834,308669574.3257732,0.0,-2329108.163984835
2010,P12,646354368.0036472,589994198.9116902,0.0,56360169.09195697
2010,SOC,1175525059.537408,1075408288.7211876,0.0,100116770.81622052
2010,SBC,172379839.06322026,183619121.45250037,0.0,-11239282.38928011
2010,WAC,242386790.08321002,243849346.1892101,0.0,-1462556.1060000658
2011,AAC,0.0,0.0,0.0,0.0
2011,ACC,631702627.3462497,623116837.4322134,0.0,8585789.914036274
2011,B12,1025467877.0698936,927725361.3668207,0.0,97742515.7030729
2011,BEC,379996913.49256086,377621273.3385856,0.0,2375640.1539752483
2011,B10,1096612046.8175364,1035328660.965819,0.0,61283385.85171735
2011,CUSA,303220969.2261216,297113036.82067764,0.0,6107932.405443966
2011,FBS,53486584.2764045,50990897.94853263,0.0,2495686.3278718665
2011,IND,73285016.21126805,58514582.86140987,0.0,14770433.34985818
2011,MAC,332267077.7883098,321249548.7447897,0.0,11017529.043520093
2011,MWC,341139821.5856936,324267638.30987084,0.0,16872183.27582276
2011,P12,597764325.7709454,580686079.5637264,0.0,17078246.207219005
2011,SOC,1191747764.9679794,1074623800.6511552,0.0,117123964.3168242
2011,SBC,184619525.06992945,188093963.37450647,0.0,-3474438.304577023
2011,WAC,245938014.26045918,240255514.64618093,0.0,5682499.614278257
2012,AAC,0.0,0.0,0.0,0.0
2012,ACC,695666259.1909857,664805650.360878,0.0,30860608.83010769
2012,B12,892997736.5630021,840965044.3402896,0.0,52032692.22271252
2012,BEC,405574448.40481126,415952348.928849,0.0,-10377900.524037719
2012,B10,1220539161.9962175,1155653153.7897155,0.0,64886008.20650196
2012,CUSA,312006854.68929124,303747013.42354745,0.0,8259841.265743792
2012,FBS,55931728.67690322,55385687.45189297,0.0,546041.225010246
2012,IND,65854781.61687303,54989310.75875969,0.0,10865470.858113341
2012,MAC,345182968.3994766,335471550.2084421,0.0,9711418.191034496
2012,MWC,347454788.4135208,347218565.3451176,0.0,236223.0684031844
2012,P12,755706468.5294492,749608321.2109891,0.0,6098147.318460107
2012,SOC,1210678640.1063056,1110949752.3081267,0.0,99728887.79817891
2012,SBC,208432738.5215306,215705242.43875024,0.0,-7272503.917219639
2012,WAC,210109829.8978052,211400624.939964,0.0,-1290795.0421587825
2013,AAC,0.0,0.0,0.0,0.0
2013,ACC,680171926.9304787,661795362.5907402,0.0,18376564.33973849
2013,B12,870702233.7307267,786591358.8515017,0.0,84110874.87922502
2013,BEC,355956551.06619304,349203718.17844146,0.0,6752832.887751579
2013,B10,1292359707.5890186,1242052484.570651,0.0,50307223.01836753
2013,CUSA,314592005.4580258,317149808.56903183,0.0,-2557803.1110060215
2013,FBS,61875127.58518469,60109585.72871143,0.0,1765541.8564732596
2013,IND,76835407.37660542,57485664.94613898,0.0,19349742.430466443
2013,MAC,386896351.30315363,385679939.8616353,0.0,1216411.4415183067
2013,MWC,443127492.27223885,452457450.3467323,0.0,-9329958.074493468
2013,P12,822000013.8284023,802099469.3805448,0.0,19900544.4478575
2013,SOC,1437364020.4412682,1330418727.1202743,0.0,106945293.3209939
2013,SBC,288740756.725072,280153779.82898855,0.0,8586976.896083474
2013,WAC,145901171.60280144,144532159.60067856,0.0,1369012.002122879
2014,AAC,546901953.301,533694916.773822,0.0,13207036.52717799
2014,ACC,716385627.0637861,701301667.4022343,0.0,15083959.661551833
2014,B12,901137229.2542297,838791329.4677596,0.0,62345899.786470056
2014,B10,1321098103.5940082,1267396007.6327665,0.0,53702095.96124172
2014,CUSA,384718556.76224345,384374838.81290734,0.0,343717.94933611155
2014,FBS,56214700.64672161,53185050.26975896,0.0,3029650.376962647
2014,IND,116223818.4936666,112005844.74299784,0.0,4217973.750668764
2014,MAC,399090794.53723,401714808.59426266,0.0,-2624014.0570326447
2014,MWC,507550063.34910464,500436608.27932185,0.0,7113455.0697827935
2014,P12,979994625.7617989,891559676.0835525,0.0,88434949.67824638
2014,SOC,1493503859.2081707,1381082779.3252316,0.0,112421079.8829391
2014,SBC,215089062.64894065,211885643.51940584,0.0,3203419.129534811
2015,AAC,412852398.8927236,409110154.5590247,0.0,3742244.3336989284
2015,ACC,819880506.4449391,797936225.2003286,0.0,21944281.244610548
2015,B12,929464627.7828755,903991328.7203119,15247491.243693948,40720790.306257606
2015,B10,1535580385.32038,1523698399.7531655,10710131.84516046,22592117.41237495
2015,CUSA,393443021.6442331,391525055.36268723,0.0,1917966.2815458775
2015,FBS,52651865.46377591,53327022.51299556,0.0,-675157.049219653
2015,IND,83443951.46150643,75360743.5572761,0.0,8083207.904230326
2015,MAC,417393980.8992765,424428475.24232,0.0,-7034494.343043506
2015,MWC,519394358.48488563,521309145.1527192,0.0,-1914786.6678335667
2015,P12,908865291.7475631,921515556.5411401,0.0,-12650264.793576956
2015,SOC,1730779246.7276855,1507486270.415585,6553480.557907615,229846456.87000802
2015,SBC,313009060.1109023,306357674.79127717,0.0,6651385.319625139
2016,AAC,442410722.0,445313132.0,0.0,-2902410.0
2016,ACC,868733351.0,861376253.0,0.0,7357098.0
2016,B12,959280484.5,892199876.0,15442459.0,82523067.5
2016,B10,1623101052.0,1611908775.0,10330604.0,21522881.0
2016,CUSA,442875232.0,427094326.0,0.0,15780906.0
2016,FBS,58907711.0,58678443.5,0.0,229267.5
2016,IND,129812923.5,122166283.5,0.0,7646640.0
2016,MAC,394928249.0,403230247.5,0.0,-8301998.5
2016,MWC,495205509.0,500201071.0,0.0,-4995562.0
2016,P12,951154305.0,988712148.5,0.0,-37557843.5
2016,SOC,1860228155.0,1668663054.0,21805937.0,213371038.0
2016,SBC,338575022.0,333170939.0,0.0,5404083.0
2017,AAC,460651247.0,457865898.0,0.0,2785349.0
2017,ACC,914617003.5,943853157.0,13178557.0,-16057596.5
2017,B12,1018524938.0,962592650.5,15886771.0,71819058.5
2017,B10,1751702838.0,1722342076.0,14528230.0,43888992.0
2017,CUSA,443789746.0,444786302.0,0.0,-996556.0
2017,FBS,59577780.0,56327225.0,0.0,3250555.0
2017,IND,96108010.0,95071582.0,0.0,1036428.0
2017,MAC,418324704.0,412595459.0,0.0,5729245.0
2017,MWC,575994031.5,562822128.5,0.0,13171903.0
2017,P12,1075556917.5,1067182465.0,0.0,8374452.5
2017,SOC,1992012396.0,1774208909.0,24006503.0,241809990.0
2017,SBC,390943689.0,379202227.5,0.0,11741461.5
